GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CsFunding,com.cs304.csfunding.controller,LoginController,0,8,0,0,0,2,0,2,0,2
CsFunding,com.cs304.csfunding.controller,UserController,30,79,3,5,5,17,3,9,1,7
CsFunding,com.cs304.csfunding.controller,ResearchGroupController,24,167,3,7,3,38,3,11,0,9
CsFunding,com.cs304.csfunding.controller,Fund_ApplyController,0,19,0,0,0,3,0,3,0,3
CsFunding,com.cs304.csfunding.controller,User_ResearchGroupController,45,19,0,0,7,3,4,3,4,3
CsFunding,com.cs304.csfunding.controller,FundController,17,143,0,10,3,28,0,12,0,7
CsFunding,com.cs304.csfunding.controller,ResearchGroup_FundController,0,19,0,0,0,3,0,3,0,3
CsFunding,com.cs304.csfunding.controller,ApplyController,0,47,0,4,0,10,0,5,0,3
CsFunding,com.cs304.csfunding.controller,NoticeController,8,85,1,5,1,17,1,8,0,6
CsFunding,com.cs304.csfunding.api,RegisterDTO,255,0,46,0,6,0,38,0,15,0
CsFunding,com.cs304.csfunding.api,ApplyVO,518,0,80,0,14,0,71,0,31,0
CsFunding,com.cs304.csfunding.api,Fund_ApplyDTO,30,62,5,5,0,3,6,8,1,8
CsFunding,com.cs304.csfunding.api,NoticeDTO,33,50,9,5,0,2,8,6,1,6
CsFunding,com.cs304.csfunding.api,UserDTO,75,94,21,9,0,4,16,10,1,10
CsFunding,com.cs304.csfunding.api,Result,135,59,30,0,0,16,21,7,6,7
CsFunding,com.cs304.csfunding.api,ResearchGroup_FundDTO,30,62,5,5,0,3,6,8,1,8
CsFunding,com.cs304.csfunding.api,ResearchGroupFundVO.FundOpVO,92,34,22,0,0,3,14,6,3,6
CsFunding,com.cs304.csfunding.api,ApplySearchDTO,169,0,30,0,4,0,26,0,11,0
CsFunding,com.cs304.csfunding.api,LoginDTO,50,76,15,7,0,3,12,8,1,8
CsFunding,com.cs304.csfunding.api,ResearchGroupDTO,43,68,10,6,0,3,9,8,1,8
CsFunding,com.cs304.csfunding.api,ResearchGroupFundVO,106,46,24,0,0,5,15,8,3,8
CsFunding,com.cs304.csfunding.api,FundInsertDTO,115,151,29,13,0,7,22,16,1,16
CsFunding,com.cs304.csfunding.api,ApplyDTO,183,245,44,20,0,12,33,26,1,26
CsFunding,com.cs304.csfunding.api,MailSendDTO,126,0,22,0,3,0,20,0,9,0
CsFunding,com.cs304.csfunding.api,BarChartVO,100,0,10,0,7,0,14,0,9,0
CsFunding,com.cs304.csfunding.api,User_ResearchGroupDTO,30,62,5,5,0,3,6,8,1,8
CsFunding,com.cs304.csfunding.api,InspectDTO,93,46,20,0,0,4,13,8,3,8
CsFunding,com.cs304.csfunding.api,FundDTO,134,186,31,15,0,9,24,20,1,20
CsFunding,com.cs304.csfunding.entity,Fund,234,86,46,0,0,9,31,13,8,13
CsFunding,com.cs304.csfunding.entity,Notice,154,50,28,0,0,6,22,7,8,7
CsFunding,com.cs304.csfunding.entity,Apply,471,0,72,0,13,0,65,0,29,0
CsFunding,com.cs304.csfunding.entity,User_ResearchGroup,92,0,10,0,3,0,14,0,9,0
CsFunding,com.cs304.csfunding.entity,ResearchGroup,99,38,18,0,0,4,14,6,5,6
CsFunding,com.cs304.csfunding.entity,Fund_Apply,92,0,10,0,3,0,14,0,9,0
CsFunding,com.cs304.csfunding.entity,ResearchGroup_Fund,92,0,10,0,3,0,14,0,9,0
CsFunding,com.cs304.csfunding.entity,User,194,74,44,0,0,7,27,12,5,12
CsFunding,com.cs304.csfunding.filter,JwtFilter,97,0,12,0,27,0,9,0,3,0
CsFunding,com.cs304.csfunding.config,CorsConfig,0,50,0,0,0,8,0,2,0,2
CsFunding,com.cs304.csfunding,CsFundingApplication,5,3,0,0,2,1,1,1,1,1
CsFunding,com.cs304.csfunding.service,Fund_ApplyService,23,6,0,0,6,3,2,1,2,1
CsFunding,com.cs304.csfunding.service,ApplyService,265,6,0,0,54,3,15,1,15,1
CsFunding,com.cs304.csfunding.service,ResearchGroupService,51,6,0,0,12,3,6,1,6,1
CsFunding,com.cs304.csfunding.service,ResearchGroup_FundService,28,6,0,0,7,3,3,1,3,1
CsFunding,com.cs304.csfunding.service,FundService,108,6,0,0,26,3,6,1,6,1
CsFunding,com.cs304.csfunding.service,UserService,132,15,4,0,34,5,13,1,11,1
CsFunding,com.cs304.csfunding.service,LoginService,79,3,8,0,13,1,5,1,1,1
CsFunding,com.cs304.csfunding.service,User_ResearchGroupService,51,6,0,0,13,3,5,1,5,1
CsFunding,com.cs304.csfunding.service,NoticeService,43,6,0,0,11,1,5,1,5,1
CsFunding,com.cs304.csfunding.util,JwtUtil,72,0,0,0,21,0,4,0,4,0
CsFunding,com.cs304.csfunding.util,HttpContextUtil,78,16,3,1,21,5,7,2,5,2
